stu_id,date_,attendance
1,2023-12-01,P
2,2023-12-01,P
3,2023-12-01,A
4,2023-12-01,P
5,2023-12-01,P
6,2023-12-01,A
7,2023-12-01,P
8,2023-12-01,P
9,2023-12-01,P
10,2023-12-01,P
11,2023-12-01,P
12,2023-12-01,P
13,2023-12-01,A
14,2023-12-01,A
15,2023-12-01,P
16,2023-12-01,P
17,2023-12-01,A
18,2023-12-01,P
19,2023-12-01,A
20,2023-12-01,P
21,2023-12-01,A
22,2023-12-01,A
23,2023-12-01,A
24,2023-12-01,P
25,2023-12-01,A
26,2023-12-01,A
27,2023-12-01,P
28,2023-12-01,P
29,2023-12-01,A
30,2023-12-01,A
31,2023-12-01,A
32,2023-12-01,P
33,2023-12-01,A
34,2023-12-01,A
35,2023-12-01,P
36,2023-12-01,A
37,2023-12-01,P
38,2023-12-01,A
39,2023-12-01,P
40,2023-12-01,A
41,2023-12-01,A
42,2023-12-01,A
43,2023-12-01,P
44,2023-12-01,A
45,2023-12-01,A
46,2023-12-01,A
47,2023-12-01,P
48,2023-12-01,A
49,2023-12-01,A
50,2023-12-01,P
51,2023-12-01,P
52,2023-12-01,P
53,2023-12-01,A
54,2023-12-01,A
55,2023-12-01,A
56,2023-12-01,A
57,2023-12-01,P
58,2023-12-01,A
59,2023-12-01,A
60,2023-12-01,P
61,2023-12-01,P
62,2023-12-01,A
63,2023-12-01,A
64,2023-12-01,A
65,2023-12-01,P
66,2023-12-01,P
67,2023-12-01,A
68,2023-12-01,A
69,2023-12-01,A
70,2023-12-01,A
71,2023-12-01,A
72,2023-12-01,P
73,2023-12-01,A
74,2023-12-01,A
75,2023-12-01,A
76,2023-12-01,P
77,2023-12-01,A
78,2023-12-01,P
79,2023-12-01,P
80,2023-12-01,P
81,2023-12-01,A
82,2023-12-01,A
83,2023-12-01,A
84,2023-12-01,A
85,2023-12-01,A
86,2023-12-01,A
87,2023-12-01,A
88,2023-12-01,P
89,2023-12-01,A
90,2023-12-01,A
91,2023-12-01,P
92,2023-12-01,A
93,2023-12-01,P
94,2023-12-01,P
95,2023-12-01,P
96,2023-12-01,A
97,2023-12-01,P
98,2023-12-01,P
99,2023-12-01,P
100,2023-12-01,P
101,2023-12-01,P
102,2023-12-01,P
103,2023-12-01,A
104,2023-12-01,P
105,2023-12-01,A
106,2023-12-01,P
107,2023-12-01,P
108,2023-12-01,P
109,2023-12-01,A
110,2023-12-01,P
111,2023-12-01,P
112,2023-12-01,A
113,2023-12-01,A
114,2023-12-01,P
115,2023-12-01,A
116,2023-12-01,A
117,2023-12-01,A
118,2023-12-01,P
119,2023-12-01,A
120,2023-12-01,P
121,2023-12-01,A
122,2023-12-01,A
123,2023-12-01,A
124,2023-12-01,P
125,2023-12-01,P
126,2023-12-01,P
127,2023-12-01,P
128,2023-12-01,P
129,2023-12-01,A
130,2023-12-01,P
131,2023-12-01,P
132,2023-12-01,P
133,2023-12-01,A
134,2023-12-01,P
135,2023-12-01,A
136,2023-12-01,A
137,2023-12-01,P
138,2023-12-01,A
139,2023-12-01,P
140,2023-12-01,A
141,2023-12-01,P
142,2023-12-01,A
143,2023-12-01,P
144,2023-12-01,P
145,2023-12-01,A
146,2023-12-01,P
147,2023-12-01,A
148,2023-12-01,P
149,2023-12-01,A
150,2023-12-01,A
151,2023-12-01,P
152,2023-12-01,A
153,2023-12-01,P
154,2023-12-01,P
155,2023-12-01,P
156,2023-12-01,A
157,2023-12-01,A
158,2023-12-01,P
159,2023-12-01,P
160,2023-12-01,P
161,2023-12-01,A
162,2023-12-01,A
163,2023-12-01,A
164,2023-12-01,A
165,2023-12-01,P
166,2023-12-01,P
167,2023-12-01,P
168,2023-12-01,P
169,2023-12-01,P
170,2023-12-01,A
171,2023-12-01,P
172,2023-12-01,P
173,2023-12-01,A
174,2023-12-01,A
175,2023-12-01,P
176,2023-12-01,A
177,2023-12-01,A
178,2023-12-01,A
179,2023-12-01,A
180,2023-12-01,A
181,2023-12-01,A
182,2023-12-01,A
183,2023-12-01,P
184,2023-12-01,A
185,2023-12-01,P
186,2023-12-01,P
187,2023-12-01,P
188,2023-12-01,A
189,2023-12-01,P
190,2023-12-01,P
191,2023-12-01,A
192,2023-12-01,P
193,2023-12-01,P
194,2023-12-01,P
195,2023-12-01,A
196,2023-12-01,P
197,2023-12-01,P
198,2023-12-01,P
199,2023-12-01,P
200,2023-12-01,P
1,2023-12-02,P
2,2023-12-02,A
3,2023-12-02,A
4,2023-12-02,P
5,2023-12-02,P
6,2023-12-02,P
7,2023-12-02,P
8,2023-12-02,P
9,2023-12-02,P
10,2023-12-02,A
11,2023-12-02,A
12,2023-12-02,P
13,2023-12-02,P
14,2023-12-02,A
15,2023-12-02,P
16,2023-12-02,A
17,2023-12-02,A
18,2023-12-02,A
19,2023-12-02,P
20,2023-12-02,P
21,2023-12-02,A
22,2023-12-02,A
23,2023-12-02,P
24,2023-12-02,A
25,2023-12-02,A
26,2023-12-02,P
27,2023-12-02,P
28,2023-12-02,A
29,2023-12-02,P
30,2023-12-02,P
31,2023-12-02,P
32,2023-12-02,P
33,2023-12-02,P
34,2023-12-02,P
35,2023-12-02,A
36,2023-12-02,A
37,2023-12-02,A
38,2023-12-02,A
39,2023-12-02,A
40,2023-12-02,A
41,2023-12-02,P
42,2023-12-02,A
43,2023-12-02,P
44,2023-12-02,A
45,2023-12-02,P
46,2023-12-02,P
47,2023-12-02,A
48,2023-12-02,P
49,2023-12-02,P
50,2023-12-02,P
51,2023-12-02,A
52,2023-12-02,P
53,2023-12-02,P
54,2023-12-02,P
55,2023-12-02,P
56,2023-12-02,P
57,2023-12-02,P
58,2023-12-02,A
59,2023-12-02,P
60,2023-12-02,A
61,2023-12-02,P
62,2023-12-02,A
63,2023-12-02,P
64,2023-12-02,P
65,2023-12-02,A
66,2023-12-02,A
67,2023-12-02,A
68,2023-12-02,A
69,2023-12-02,A
70,2023-12-02,P
71,2023-12-02,P
72,2023-12-02,A
73,2023-12-02,A
74,2023-12-02,P
75,2023-12-02,A
76,2023-12-02,A
77,2023-12-02,P
78,2023-12-02,P
79,2023-12-02,A
80,2023-12-02,P
81,2023-12-02,P
82,2023-12-02,A
83,2023-12-02,P
84,2023-12-02,P
85,2023-12-02,P
86,2023-12-02,P
87,2023-12-02,P
88,2023-12-02,P
89,2023-12-02,P
90,2023-12-02,P
91,2023-12-02,P
92,2023-12-02,P
93,2023-12-02,A
94,2023-12-02,P
95,2023-12-02,P
96,2023-12-02,A
97,2023-12-02,A
98,2023-12-02,A
99,2023-12-02,P
100,2023-12-02,A
101,2023-12-02,P
102,2023-12-02,P
103,2023-12-02,P
104,2023-12-02,A
105,2023-12-02,P
106,2023-12-02,P
107,2023-12-02,A
108,2023-12-02,A
109,2023-12-02,A
110,2023-12-02,A
111,2023-12-02,P
112,2023-12-02,A
113,2023-12-02,A
114,2023-12-02,A
115,2023-12-02,A
116,2023-12-02,A
117,2023-12-02,A
118,2023-12-02,P
119,2023-12-02,A
120,2023-12-02,A
121,2023-12-02,P
122,2023-12-02,P
123,2023-12-02,A
